"album_id","album_name","artist_name"
"4NNAc6EF4agYuWUqZ5OZr0","FIRST LOVE","Oscar Ortiz"
"57wh3BpvUF2tmvwoGSjUe3","Might Delete Later","J. Cole"
"2pQBZM3cwyDQROzSBuMGvw","No Face","Drake"
"0GHlPN101r1WcuQCwINbI2","Feel It (From “Invincible”)","d4vd"
"2aWJw4wM4FuXfZPoOGcg3i","FACTS","Tom MacDonald"
"3b80v2noU4EEZmCefjinoO","Big Foot","Nicki Minaj"
"3sRyLQf04m9vm40JNRFiCl","ADIVINO","Myke Towers"
"6P8euK0BjgTqallJTGoJTX","Pretty Slowly","Benson Boone"
"2gofZasmvwfD1dkgQPORTW","She's Somebody's Daughter (The Wedding Version)","Drew Baldridge"
"6UwxCr559vsWAmVC6WkrI3","WE STILL DON'T TRUST YOU","Future"
"5MqrNKRQ1OjwtSiXjrzkjy","Hate Me","Lil Yachty"
"6kAsgfuulBOuyYLytWX7e2","CRAZY (Party Remixes 1)","LE SSERAFIM"
"5kvw1bAOvzJdNi4hdgfaNf","ÉXODO","Peso Pluma"
"5kvw1bAOvzJdNi4hdgfaNf","ÉXODO","Peso Pluma"
"6u3h6zlq9gplaFbWkABa0d","Work","Shoreline Mafia"
"7I7rbWQoLZ7PrTMsRfocpL","Love On","Selena Gomez"
"1Hcfqz0pRk7ph2svhIcnKC","Old Days","Lil Durk"
"4csPGLYTb7kt85U377UCuC","Turn the Lights Back On","Billy Joel"
"5TT8KluomuelzsNF7T1U37","+57","KAROL G"
"3jxt1S4JtW4uFalBwlfehS","143","Katy Perry"
"7v4sqd0NZ9Fm8HnwCcCGIs","FRI(END)S","V"
"2weOG4ZiOjfxiuFMsHm9JQ","RMCM","Richy Mitch & The Coal Miners"
"0XwVkzDyxfDSiWzBtVKn0K","DAYS BEFORE RODEO","Travis Scott"
"1KFWgQTw3EMTQebaaepVBI","Clancy","Twenty One Pilots"
"30H0cGghxhBJ93v4h28XEt","THE FIRST TIME (DELUXE VERSION)","The Kid LAROI"
"2giuHTYPbL8hSugmqDcvAz","Smoky Mountains","Conner Smith"
"7d4MwwVvFzXP5E40oaw94J","J CHRIST","Lil Nas X"
"7wIIhHPyaxAHRvdNQQO2G9","Rockstar","LISA"
"6TFqEha8tfihUzdi5LQXzu","Skin and Bones","David Kushner"
"2Bj8SpPipT3Q48N6vkBUlc","New World Depression","$uicideboy$"
"3fonA82Hl7huJiQCwKkzGA","Las Mujeres Ya No Lloran","Shakira"
"2pEZkJlkzLMBXPUPWyQJxn","Worst Way","Riley Green"
"5fTud1jSzcTEwm7I0j4BTu","Young Love & Saturday Nights","Chris Young"
"2kJunH6dfHcjJa0lxZbRKr","Doctor (Work It Out) [feat. Miley Cyrus]","Pharrell Williams"
"5SxZmGwc4eJuPp6PcO4JgJ","Deeper Well","Kacey Musgraves"
"6VA6WgquH5zBIfIDz5IMKb","dont let me go","mgk"
"4jrP67zEPygoCd90h6vMHr","All My Life","Falling In Reverse"
"0somiwdLc587aSOGWsJhTi","When It Comes To You","Fridayy"
"3Su6Sgi0YjcUFuCzjLKYYq","Heavy Is the Crown","Linkin Park"
"58iEeJbYd6OBGRM0TiwltL","A Great Chaos (Deluxe)","Ken Carson"
"2HQzboxa5GyWpk2aiPP5i6","Una Velita","Bad Bunny"
"5PsQkSZdGgr9jnuSKzSi5s","Something To Give Each Other","Troye Sivan"
