album_id,genre
21jF5jlMtzo94wbxmJ18aa,pop
32iAEBstCjauDhyKpGjTuq,pop
2eE8BVirX9VF8Di9hD90iw,hip hop
4vjE6Rgl5z6K2PhrAtIA7O,pop rap
5dGWwsZ9iB2Xc3UKR0gif2,pop
0kxA9Bc8pamypR5GYXmeti,
7wHczdY0ek3FHnfVhk10om,soft rock
6tE9Dnp2zInFij4jKssysL,trap
1NgFBv1PxMG1zhFDW1OrRr,contemporary r&b
32iAEBstCjauDhyKpGjTuq,pop
6pOiDiuDQqrmo5DbG0ZubR,country rap
6yiXkzHvC0OTmhfDQOEWtS,pop
6pOiDiuDQqrmo5DbG0ZubR,country rap
6tUQPKlpR4x1gjrXTtOImI,pop punk
1nAQbHeOWTfQzbOoFrvndW,pop
6JlCkqkqobGirPsaleJpFr,country
3RQQmkQEvNCY4prGKE6oc5,cumbia
1nAQbHeOWTfQzbOoFrvndW,pop
3RQQmkQEvNCY4prGKE6oc5,cumbia
5G5UwqPsxDKpxJLX4xsyuh,baroque pop
25L8ck3KGcmCo3901ztPzR,
5r36AJ6VOJtp00oxSkBZ5h,new wave
3HHNR44YbP7XogMVwzbodx,pop
6i7mF7whyRJuLJ4ogbH2wh,country pop
3Ks0eeH0GWpY4AU20D5HPD,contemporary r&b
1Y7AsjpYThuzMClDdu4FrV,
3HHNR44YbP7XogMVwzbodx,pop
6s84u2TUpR3wdUv4NgKA2j,teen pop
1iHhuUxL99xxbDjlLwHV8W,
3cf4iSSKd8ffTncbtKljXw,dance music
3og8X1LYiVq3nPdMxpM9Wb,country
4sShdTo9jO2RGLgDkZBgN8,country
1m9DVgV0kEBiVZ4ElhJEte,country
3tjIKRAPBy5Qu4z8F5HmBz,pop
6FJxoadUE4JNVwWHghBwnb,pop
1CmTOKCeyz1aHH04OwvTPv,country
2fyOpT5c9kxR8zbDh6UtXh,contemporary r&b
4VZ7jhV0wHpoNPCB7Vmiml,contemporary r&b
5lKlFlReHOLShQKyRv6AL9,dance-pop
0FYvMdfTfYJxnJnKs1wDb0,trap
3RQQmkQEvNCY4prGKE6oc5,cumbia
1nAQbHeOWTfQzbOoFrvndW,pop
5UgaQfAOaOdfLxFClw8EWa,country
2Q5DPv9uliinOBSdNooIe3,hip hop
02uWB8Kekadkl3yGBoOOcx,hip hop
2y9DFhTWC7QQJMvygK0TzO,country
07w0rG5TETcyihsEIZR3qG,pop
4jUfPmvZGiRRJwULbfk1dc,
2hEnymoejldpuxSdTnkard,
25L8ck3KGcmCo3901ztPzR,
19DGbjQW4oJmS1TLmr7OH3,country
6lheAtw3IcJvflIhLbykih,afrobeats
2bYCNZfxZrTUv1CHXkz2d2,contemporary r&b
7fe4Mem3wWgY6zkTFuKUI9,
6JlCkqkqobGirPsaleJpFr,country
7eC4wtMG1I2Jtk4FDWbkKC,reggaeton
3SpBlxme9WbeQdI9kx7KAV,hip hop
4sShdTo9jO2RGLgDkZBgN8,country
4YP0h2KGDb20eJuStnBvim,trap
4kS7bSuU0Jm9LYMosFU2x5,reggaeton
6bCs4XCCkm9cTwlswlu0VD,afrobeat
61ulfFSmmxMhc2wCdmdMkN,hip hop
5Nn3fX7CuJo7tbibtqASmf,pop
2S3Q7phoa4bZEijkTRYaLu,country
1nAQbHeOWTfQzbOoFrvndW,pop
3RQQmkQEvNCY4prGKE6oc5,cumbia
19DGbjQW4oJmS1TLmr7OH3,country
1m9DVgV0kEBiVZ4ElhJEte,country
21jF5jlMtzo94wbxmJ18aa,pop
2wcv0lHk5fUYyNGKugGa7q,
2kZyqn4Cmr78D74K9TcO4K,
1nEJIdxjw5Y6LBlWLGJzzT,
6kZ42qRrzov54LcAk4onW9,pop
3RQQmkQEvNCY4prGKE6oc5,cumbia
3RQQmkQEvNCY4prGKE6oc5,cumbia
0sOeI7pbAmIc8aDFyvkBUW,country
34wa3zf2prXFMk47t9zHFG,
0vRN2oePynCSTspdY9NDsM,trap
33TRcgk13pDfnELf22G8wN,country
0vRN2oePynCSTspdY9NDsM,trap
6tE9Dnp2zInFij4jKssysL,trap
7dfTBn7wtgKEchVmyipBl1,country
3wivyOdotHWZ9dcuXMjPKT,rockabilly
3RQQmkQEvNCY4prGKE6oc5,cumbia
4ZaUIMUNymqD3koXtYev2P,country
6MvKUOSuPdfH0WLeQjR3eR,
1nAQbHeOWTfQzbOoFrvndW,pop
1yq5iFSGYrr3NA3UidIgi8,country
5UgaQfAOaOdfLxFClw8EWa,country
0R9QjGSDl6EX4yWu3Rr1eU,country
5fhTetHew6Eph6HfQ9O5gJ,pop
2QriWWJQt8g8XXoC1ATDPa,country
5mTNFZBZyKIZSYrIAf9c5L,
70uNWLPkbci5L1bZI1Mzp6,
3Uq1jNGnD412ZvCb6j2DKV,pop
7dfTBn7wtgKEchVmyipBl1,country
3BEDHGAd2zJh5dUL4dbmiw,country
5lKlFlReHOLShQKyRv6AL9,dark pop
2fyOpT5c9kxR8zbDh6UtXh,contemporary r&b
4yP0hdKOZPNshxUOjY0cZj,contemporary r&b
270o30h7cAlEhBnbuSpFZq,
6s84u2TUpR3wdUv4NgKA2j,teen pop
1nAQbHeOWTfQzbOoFrvndW,pop
4VZ7jhV0wHpoNPCB7Vmiml,contemporary r&b
6s84u2TUpR3wdUv4NgKA2j,teen pop
6pOiDiuDQqrmo5DbG0ZubR,hip hop
5dGWwsZ9iB2Xc3UKR0gif2,pop
6al2VdKbb6FIz9d7lU7WRB,
576UTio7xgY7YUxrHMzxeI,pop
6s84u2TUpR3wdUv4NgKA2j,teen pop
74vajFwEwXJ61OW1DKSPEa,pop
32iAEBstCjauDhyKpGjTuq,pop
0KTj6k94XZh0c6IEMfxeWV,
576UTio7xgY7YUxrHMzxeI,pop
25TJxI6ZH6XjT8geRQAFz5,country
7fZKtzZAsfH0kzeTivu5TG,contemporary r&b
6qNMYsx5OUFDXWAoct9Pge,
74vajFwEwXJ61OW1DKSPEa,pop
2MDU46hcBn3u94s46BOSdv,brooklyn drill
57lgFncHBYu5E3igZnuCJK,hip hop
6pOiDiuDQqrmo5DbG0ZubR,hip hop
0JGOiO34nwfUdDrD612dOp,pop
5BNrcvfbLyADks4RXPW7VP,trap
4sShdTo9jO2RGLgDkZBgN8,country
2d9BCZeAAhiZWPpbX9aPCW,reggaeton
28Yv9BE6ZI6dccK0sxbEq4,hip hop
7KSf6p0G0mZd7j60etVTwT,trap
1otOJAtgvO5VCBL4Gykrrd,
2MDU46hcBn3u94s46BOSdv,brooklyn drill
3MEKpJ7wSSp6Z661ThjrUJ,hip hop
1pCA38N6MkLlthXtAOvZTU,pop
5dGWwsZ9iB2Xc3UKR0gif2,pop
25gJpQKgXxT5CrMitr0DQO,trap
1BaHo66NCQNx6ku0hPn9bR,indie pop
6s84u2TUpR3wdUv4NgKA2j,alternative pop
2UwJ4Nt10VStLczYefhcEV,
4Iqfx63CZhFGGIHiAvLxXY,country pop
6nYfHQnvkvOTNHnOhDT3sr,pop
5ffogo3K3fYibGWa93IzUe,trap
1nAQbHeOWTfQzbOoFrvndW,pop
6QqwWNpKYbROin3Gq5pIrV,
