album_id,album_name,label,external_link,album_image,artist_name,genre
0SW0LplxFID1otCk4bhhHI,Ehhthang Ehhthang,CMG/Interscope Records,https://open.spotify.com/album/0SW0LplxFID1otCk4bhhHI,https://i.scdn.co/image/ab67616d0000b273bd9951bb4c9813bc540bde1d,GloRilla,hip hop
4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,OVO/Republic,https://open.spotify.com/album/4Q7cRXio6mF2ImVUCcezPO,https://i.scdn.co/image/ab67616d0000b273e286ee36b4015afa8832356a,Drake,hip hop
4JDXBZdRPId4devseaAOKH,DECIDE,Djo,https://open.spotify.com/album/4JDXBZdRPId4devseaAOKH,https://i.scdn.co/image/ab67616d0000b273fddfffec51b4580acae727c1,Djo,synthpop
7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,Darkroom/Interscope Records,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,Billie Eilish,pop
4tNtjyBBXMhGRwqOQTbh6i,"Fine Ho, Stay",'94 Sounds/RCA Records,https://open.spotify.com/album/4tNtjyBBXMhGRwqOQTbh6i,https://i.scdn.co/image/ab67616d0000b27390a00067d70bfab568ca27f4,Flo Milli,southern hip hop
4iqbFIdGOTzXeDtt9owjQn,WE DON'T TRUST YOU,Wilburn Holding Co./Boominati/Epic/Republic,https://open.spotify.com/album/4iqbFIdGOTzXeDtt9owjQn,https://i.scdn.co/image/ab67616d0000b2731729574fe2a8e391a2ce1ece,Future,trap
62ldGEkFUkQa34B8qsAFyc,Lies Lies Lies,Big Loud Records / Mercury Records / Republic Records,https://open.spotify.com/album/62ldGEkFUkQa34B8qsAFyc,https://i.scdn.co/image/ab67616d0000b27337eedb840f9441959db3107e,Morgan Wallen,country
5tSQtQGkrCJx3hoQxmLgfM,Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,https://open.spotify.com/album/5tSQtQGkrCJx3hoQxmLgfM,https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a,FloyyMenor,reggaeton
0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,Chappell Roan PS/ Island,https://open.spotify.com/album/0EiI8ylL0FmWWpgHVTsZjZ,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,Chappell Roan,synthpop
5PmtX9B5vNa4uaiXQVn4Gx,In Sexyy We Trust,Rebel/gamma.,https://open.spotify.com/album/5PmtX9B5vNa4uaiXQVn4Gx,https://i.scdn.co/image/ab67616d0000b2737c7eda8880dbfd0930bf9491,Sexyy Red,dirty rap
1q37MEHkdOivTuJJbwRkGS,Revenge,Muni Long PS/ Def Jam,https://open.spotify.com/album/1q37MEHkdOivTuJJbwRkGS,https://i.scdn.co/image/ab67616d0000b273ff38e6b82c71fee578114021,Muni Long,contemporary r&b
60s0PMYFJhe34io9HuyUXf,Whatever She Wants,TrapSoul/RCA Records,https://open.spotify.com/album/60s0PMYFJhe34io9HuyUXf,https://i.scdn.co/image/ab67616d0000b2731aba7b448d35bd576ceac182,Bryson Tiller,trap
