artist_id,artist_name,external_link,artist_image
7CvTknweLr9feJtRGrpDBy,FloyyMenor,https://open.spotify.com/artist/7CvTknweLr9feJtRGrpDBy,https://i.scdn.co/image/ab6761610000e5eb035292979f82a70d9be130fd
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,https://open.spotify.com/artist/7GlBOeep6PqTfFi59PTUUN,https://i.scdn.co/image/ab6761610000e5ebd258ecb0d66244e6300bcf64
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,https://open.spotify.com/artist/3DbwFQlvLxRSi2uX8mf81A,https://i.scdn.co/image/ab6761610000e5ebd341871daa2c688ea24dcf02
7tjVFCxJdwT4NdrTmjyjQ6,Muni Long,https://open.spotify.com/artist/7tjVFCxJdwT4NdrTmjyjQ6,https://i.scdn.co/image/ab6761610000e5ebcf6fe31cd504d31909f25c64
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs,https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428
7kplJl06UmldxLKseURAYi,Warren Zeiders,https://open.spotify.com/artist/7kplJl06UmldxLKseURAYi,https://i.scdn.co/image/ab6761610000e5ebc1790ce1715aa97f87c9e094
3TVXtAsR1Inumwj472S9r4,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,https://open.spotify.com/artist/0PCCGZ0wGLizHt2KZ7hhA2,https://i.scdn.co/image/ab6761610000e5eb36e8f783dc68dcb1be1003a2
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,https://open.spotify.com/artist/19k8AgwwTSxeaxkOuCQEJs,https://i.scdn.co/image/ab6761610000e5eb27901c1c025fa90f5dc007ef
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
5QNm7E7RU2m64l6Gliu8Oy,HARDY,https://open.spotify.com/artist/5QNm7E7RU2m64l6Gliu8Oy,https://i.scdn.co/image/ab6761610000e5eb3e7e5b8c09a44d49a95bd842
718COspgdWOnwOFpJHRZHS,Luke Combs,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,https://i.scdn.co/image/ab6761610000e5eb5289a270b16a0423f1909bc3
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd
3Me35AWHCGqW4sZ7bWWJt1,Xavi,https://open.spotify.com/artist/3Me35AWHCGqW4sZ7bWWJt1,https://i.scdn.co/image/ab6761610000e5ebae59aa2a67a1c5ec69555d1f
3bO19AOone0ubCsfDXDtYt,Myles Smith,https://open.spotify.com/artist/3bO19AOone0ubCsfDXDtYt,https://i.scdn.co/image/ab6761610000e5eb96327fa3a2c850b608b8efb3
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,https://open.spotify.com/artist/19k8AgwwTSxeaxkOuCQEJs,https://i.scdn.co/image/ab6761610000e5eb27901c1c025fa90f5dc007ef
246dkjvS1zLTtiykXe5h60,Post Malone,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,https://open.spotify.com/artist/4YLtscXsxbVgi031ovDDdh,https://i.scdn.co/image/ab6761610000e5eba0c87c8f329b436eac8b9784
4zoRNhOhsGX3w8yBAnFSQ8,Paul Russell,https://open.spotify.com/artist/4zoRNhOhsGX3w8yBAnFSQ8,https://i.scdn.co/image/ab6761610000e5eb20dfe244344a7a24f24704ea
23zg3TcAtWQy7J6upgbUnj,USHER,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj,https://i.scdn.co/image/ab6761610000e5eb716114797a4a644c67c5fa72
5fi7lIgJGH3RgUpJYcffQ7,4batz,https://open.spotify.com/artist/5fi7lIgJGH3RgUpJYcffQ7,https://i.scdn.co/image/ab6761610000e5ebb9d7b39ae0ddaf062a2a72d2
1Tie3AZgLQZqYEp8Fv4zOZ,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,https://i.scdn.co/image/ab6761610000e5eb4f81d6e97713799ac3780b7f
4q3ewBCX7sLwd24euuV69X,Bad Bunny,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
3TVXtAsR1Inumwj472S9r4,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455
0Z8XVUAOBPM4x12wKnFHEQ,Parker McCollum,https://open.spotify.com/artist/0Z8XVUAOBPM4x12wKnFHEQ,https://i.scdn.co/image/ab6761610000e5ebab74fc126101bf7425ee7cc3
3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,https://open.spotify.com/artist/3win9vGIxFfBRag9S63wwf,https://i.scdn.co/image/ab6761610000e5eb1c9f6b984cb667d1f4ef2f4b
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd
4NYMUsIcUUsBHbV9DICa5x,Nate Smith,https://open.spotify.com/artist/4NYMUsIcUUsBHbV9DICa5x,https://i.scdn.co/image/ab6761610000e5eb1d43047a32706c03490957da
63XBtGSEZINSyXylZxEUbv,Victoria Monét,https://open.spotify.com/artist/63XBtGSEZINSyXylZxEUbv,https://i.scdn.co/image/ab6761610000e5eb0e3524063986882f3706730b
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5
45dkTj5sMRSjrmBSBeiHym,Tate McRae,https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym,https://i.scdn.co/image/ab6761610000e5eb5f2d104955a32b1334951632
4sCKpwwEsgReZxjtKFm2A0,Tucker Wetmore,https://open.spotify.com/artist/4sCKpwwEsgReZxjtKFm2A0,https://i.scdn.co/image/ab6761610000e5ebdbf7547beca0a0ce3eef2f2b
4NYMUsIcUUsBHbV9DICa5x,Nate Smith,https://open.spotify.com/artist/4NYMUsIcUUsBHbV9DICa5x,https://i.scdn.co/image/ab6761610000e5eb1d43047a32706c03490957da
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
6zLBxLdl60ekBLpawtT63I,Cody Johnson,https://open.spotify.com/artist/6zLBxLdl60ekBLpawtT63I,https://i.scdn.co/image/ab6761610000e5ebb1fa84619efb4bdf4f5e9c4b
06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ,https://i.scdn.co/image/ab6761610000e5eba998bc86f87b9fe7e2466110
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,https://open.spotify.com/artist/40ZNYROS4zLfyyBSs2PGe2,https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7
2uYWxilOVlUdk4oV9DvwqK,Mitski,https://open.spotify.com/artist/2uYWxilOVlUdk4oV9DvwqK,https://i.scdn.co/image/ab6761610000e5eb4bdb3888818637acb71c4a13
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,https://open.spotify.com/artist/7GlBOeep6PqTfFi59PTUUN,https://i.scdn.co/image/ab6761610000e5ebd258ecb0d66244e6300bcf64
0jPHHnU8GUWEF7rwPE9osY,Jordan Adetunji,https://open.spotify.com/artist/0jPHHnU8GUWEF7rwPE9osY,https://i.scdn.co/image/ab6761610000e5ebb37f3a71a8cd5f70d64b32cc
6zLBxLdl60ekBLpawtT63I,Cody Johnson,https://open.spotify.com/artist/6zLBxLdl60ekBLpawtT63I,https://i.scdn.co/image/ab6761610000e5ebb1fa84619efb4bdf4f5e9c4b
2qoQgPAilErOKCwE2Y8wOG,GloRilla,https://open.spotify.com/artist/2qoQgPAilErOKCwE2Y8wOG,https://i.scdn.co/image/ab6761610000e5ebc33cf3ad025517202d8efbc0
790FomKkXshlbRYZFtlgla,KAROL G,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,https://i.scdn.co/image/ab6761610000e5eb66041ce9eb4497057cbc3496
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
